img_path,inst_id,local_id,bbox,label
07686040.jpg,Adidas_0000,0,"[392, 257, 422, 274]",Adidas
07706932.jpg,Adidas_0001,0,"[461, 310, 501, 339]",Adidas
07698201.jpg,Adidas_0002,0,"[464, 282, 494, 313]",Adidas
07680445.jpg,Adidas_0010,0,"[120, 90, 153, 108]",Adidas
07680447.jpg,Adidas_0014,0,"[468, 33, 497, 48]",Adidas
07680447.jpg,Adidas_0015,0,"[641, 298, 666, 324]",Adidas
07680452.jpg,Adidas_0022,0,"[244, 32, 291, 58]",Adidas
07680455.jpg,Adidas_0042,0,"[468, 29, 496, 49]",Adidas
07698215.jpg,Adidas_0047,0,"[449, 204, 471, 215]",Adidas
07675174.jpg,Adidas_0056,0,"[524, 484, 554, 506]",Adidas
07675174.jpg,Adidas_0057,0,"[181, 784, 203, 808]",Adidas
07675862.jpg,Adidas_0059,0,"[215, 238, 239, 262]",Adidas
07638512.jpg,Adidas_0066,0,"[412, 282, 445, 311]",Adidas
07643111.jpg,Adidas_0069,0,"[315, 252, 351, 274]",Adidas
07638517.jpg,Adidas_0080,0,"[312, 281, 339, 303]",Adidas
07603320.jpg,Adidas_0087,0,"[326, 934, 361, 951]",Adidas
07603320.jpg,Adidas_0088,0,"[375, 739, 407, 762]",Adidas
07674618.jpg,Adidas_0095,0,"[185, 518, 215, 552]",Adidas
07674618.jpg,Adidas_0096,0,"[524, 404, 562, 434]",Adidas
07638543.jpg,Adidas_0102,0,"[154, 210, 171, 217]",Adidas
07638543.jpg,Adidas_0103,0,"[198, 294, 236, 319]",Adidas
07638543.jpg,Adidas_0104,0,"[328, 255, 346, 264]",Adidas
07638543.jpg,Adidas_0105,0,"[487, 267, 502, 276]",Adidas
07638544.jpg,Adidas_0108,0,"[341, 326, 368, 354]",Adidas
07638545.jpg,Adidas_0112,0,"[212, 328, 274, 375]",Adidas
07638545.jpg,Adidas_0115,0,"[623, 282, 651, 299]",Adidas
07675222.jpg,Adidas_0147,0,"[522, 700, 559, 731]",Adidas
07683665.jpg,Adidas_0164,0,"[210, 367, 266, 410]",Adidas
07638574.jpg,Adidas_0172,0,"[165, 182, 201, 208]",Adidas
07693977.jpg,Adidas_0173,0,"[290, 60, 323, 81]",Adidas
07596607.jpg,Adidas_0179,0,"[245, 843, 280, 868]",Adidas
07645740.jpg,Adidas_0181,0,"[517, 285, 535, 298]",Adidas
07698333.jpg,Adidas_0189,0,"[625, 146, 668, 181]",Adidas
07698333.jpg,Adidas_0190,0,"[535, 527, 559, 557]",Adidas
07643213.jpg,Adidas_0192,0,"[349, 387, 403, 432]",Adidas
07698343.jpg,Adidas_0193,0,"[300, 320, 333, 361]",Adidas
07576775.jpg,Adidas_0219,0,"[187, 230, 238, 267]",Adidas
07576775.jpg,Adidas_0220,0,"[325, 578, 365, 611]",Adidas
07596682.jpg,Adidas_0224,0,"[328, 1043, 375, 1074]",Adidas
07596682.jpg,Adidas_0225,0,"[565, 729, 602, 757]",Adidas
07596683.jpg,Adidas_0227,0,"[326, 1045, 374, 1072]",Adidas
07596683.jpg,Adidas_0228,0,"[571, 727, 599, 757]",Adidas
07596688.jpg,Adidas_0246,0,"[378, 457, 417, 483]",Adidas
07576786.jpg,Adidas_0248,0,"[376, 463, 438, 513]",Adidas
07576786.jpg,Adidas_0249,0,"[191, 651, 252, 701]",Adidas
07576786.jpg,Adidas_0250,0,"[194, 944, 257, 991]",Adidas
07576786.jpg,Adidas_0251,0,"[751, 652, 800, 693]",Adidas
07576786.jpg,Adidas_0252,0,"[756, 942, 800, 984]",Adidas
07596697.jpg,Adidas_0269,0,"[463, 883, 500, 912]",Adidas
07596697.jpg,Adidas_0270,0,"[359, 597, 385, 625]",Adidas
07576796.jpg,Adidas_0293,0,"[187, 982, 261, 1031]",Adidas
07576798.jpg,Adidas_0294,0,"[544, 242, 620, 290]",Adidas
07576798.jpg,Adidas_0295,0,"[322, 461, 400, 515]",Adidas
07576798.jpg,Adidas_0296,0,"[375, 835, 441, 877]",Adidas
07683778.jpg,Adidas_0300,0,"[494, 748, 531, 783]",Adidas
07707025.jpg,Adidas_0307,0,"[421, 359, 478, 393]",Adidas
07585130.jpg,Adidas_0311,0,"[477, 380, 510, 410]",Adidas
07707033.jpg,Adidas_0315,0,"[528, 265, 573, 288]",Adidas
07576813.jpg,Adidas_0325,0,"[518, 299, 552, 325]",Adidas
07576819.jpg,Adidas_0329,0,"[429, 251, 460, 277]",Adidas
07697834.jpg,Adidas_0336,0,"[409, 368, 464, 405]",Adidas
07707054.jpg,Adidas_0343,0,"[444, 248, 471, 269]",Adidas
07681269.jpg,Adidas_0360,0,"[338, 618, 395, 661]",Adidas
07585176.jpg,Adidas_0365,0,"[322, 257, 345, 279]",Adidas
07585178.jpg,Adidas_0366,0,"[236, 299, 272, 328]",Adidas
07602242.jpg,Adidas_0380,0,"[375, 652, 460, 704]",Adidas
07707085.jpg,Adidas_0382,0,"[497, 357, 561, 397]",Adidas
07675413.jpg,Adidas_0389,0,"[463, 337, 498, 365]",Adidas
07665812.jpg,Adidas_0415,0,"[651, 368, 670, 389]",Adidas
07674834.jpg,Adidas_0419,0,"[678, 712, 708, 768]",Adidas
07691638.jpg,Adidas_0457,0,"[422, 284, 444, 307]",Adidas
07585248.jpg,Adidas_0459,0,"[481, 668, 521, 705]",Adidas
07576234.jpg,Adidas_0463,0,"[168, 912, 264, 985]",Adidas
07692924.jpg,Adidas_0464,0,"[300, 410, 324, 430]",Adidas
07576235.jpg,Adidas_0465,0,"[62, 1059, 181, 1162]",Adidas
07576236.jpg,Adidas_0467,0,"[180, 945, 276, 1016]",Adidas
07576238.jpg,Adidas_0468,0,"[389, 477, 456, 526]",Adidas
07706581.jpg,Adidas_0487,0,"[320, 451, 394, 500]",Adidas
07706591.jpg,Adidas_0493,0,"[386, 295, 434, 326]",Adidas
07706595.jpg,Adidas_0499,0,"[431, 362, 464, 392]",Adidas
07682656.jpg,Adidas_0502,0,"[238, 54, 277, 81]",Adidas
07682657.jpg,Adidas_0503,0,"[645, 448, 679, 472]",Adidas
07706596.jpg,Adidas_0504,0,"[385, 298, 436, 332]",Adidas
07706599.jpg,Adidas_0507,0,"[47, 101, 115, 151]",Adidas
07682663.jpg,Adidas_0511,0,"[513, 103, 561, 130]",Adidas
07682663.jpg,Adidas_0512,0,"[466, 577, 493, 611]",Adidas
07675508.jpg,Adidas_0516,0,"[524, 267, 555, 292]",Adidas
07706606.jpg,Adidas_0526,0,"[77, 109, 121, 143]",Adidas
07643454.jpg,Adidas_0531,0,"[491, 388, 537, 409]",Adidas
07706611.jpg,Adidas_0533,0,"[351, 273, 401, 300]",Adidas
07705338.jpg,Adidas_0534,0,"[392, 488, 449, 534]",Adidas
07706616.jpg,Adidas_0536,0,"[450, 379, 488, 417]",Adidas
07706619.jpg,Adidas_0537,0,"[510, 231, 588, 300]",Adidas
07692988.jpg,Adidas_0539,0,"[598, 95, 628, 116]",Adidas
07692988.jpg,Adidas_0541,0,"[429, 734, 462, 759]",Adidas
07706631.jpg,Adidas_0553,0,"[558, 201, 580, 222]",Adidas
07707235.jpg,Adidas_0561,0,"[155, 260, 181, 281]",Adidas
07707235.jpg,Adidas_0563,0,"[559, 407, 586, 429]",Adidas
07682024.jpg,Adidas_0567,0,"[276, 634, 323, 670]",Adidas
07601812.jpg,Adidas_0572,0,"[230, 299, 272, 324]",Adidas
07705382.jpg,Adidas_0582,0,"[225, 49, 241, 60]",Adidas
07601824.jpg,Adidas_0591,0,"[380, 587, 438, 625]",Adidas
07576336.jpg,Adidas_0594,0,"[284, 802, 357, 854]",Adidas
07674991.jpg,Adidas_0595,0,"[313, 363, 340, 380]",Adidas
07576338.jpg,Adidas_0600,0,"[58, 336, 120, 371]",Adidas
07576340.jpg,Adidas_0605,0,"[118, 1110, 219, 1200]",Adidas
07576341.jpg,Adidas_0607,0,"[62, 1115, 174, 1200]",Adidas
07576342.jpg,Adidas_0608,0,"[210, 796, 305, 879]",Adidas
07654403.jpg,Adidas_0617,0,"[397, 819, 435, 868]",Adidas
07706689.jpg,Adidas_0626,0,"[365, 354, 404, 391]",Adidas
07691775.jpg,Adidas_0635,0,"[491, 287, 530, 325]",Adidas
07707286.jpg,Adidas_0649,0,"[304, 406, 371, 451]",Adidas
07673748.jpg,Adidas_0650,0,"[486, 669, 538, 704]",Adidas
07675618.jpg,Adidas_0661,0,"[354, 194, 386, 216]",Adidas
07706019.jpg,Adidas_0663,0,"[226, 231, 244, 246]",Adidas
07601892.jpg,Adidas_0682,0,"[324, 649, 377, 694]",Adidas
07699967.jpg,Adidas_0687,0,"[498, 231, 532, 253]",Adidas
07694279.jpg,Adidas_0695,0,"[413, 366, 446, 388]",Adidas
07694281.jpg,Adidas_0697,0,"[469, 431, 515, 466]",Adidas
07706742.jpg,Adidas_0701,0,"[441, 365, 496, 401]",Adidas
07706745.jpg,Adidas_0702,0,"[336, 767, 437, 836]",Adidas
07706749.jpg,Adidas_0703,0,"[400, 574, 485, 629]",Adidas
07706754.jpg,Adidas_0710,0,"[353, 574, 425, 630]",Adidas
07704904.jpg,Adidas_0731,0,"[489, 14, 558, 56]",Adidas
07584881.jpg,Adidas_0732,0,"[255, 303, 301, 336]",Adidas
07584891.jpg,Adidas_0740,0,"[382, 452, 417, 478]",Adidas
07584892.jpg,Adidas_0741,0,"[374, 842, 439, 888]",Adidas
07675045.jpg,Adidas_0793,0,"[133, 844, 164, 862]",Adidas
07675045.jpg,Adidas_0794,0,"[573, 435, 610, 457]",Adidas
07603862.jpg,Adidas_0798,0,"[205, 648, 261, 682]",Adidas
07576526.jpg,Adidas_0845,0,"[278, 255, 325, 279]",Adidas
07576529.jpg,Adidas_0849,0,"[624, 492, 665, 524]",Adidas
07706868.jpg,Adidas_0868,0,"[333, 251, 363, 273]",Adidas
07687252.jpg,Adidas_0872,0,"[331, 357, 382, 389]",Adidas
07675096.jpg,Adidas_0875,0,"[363, 229, 405, 277]",Adidas
07643747.jpg,Adidas_0995,0,"[438, 698, 476, 737]",Adidas
07698182.jpg,Adidas_0997,0,"[376, 375, 435, 406]",Adidas
07704356.jpg,Adidas_0999,0,"[535, 84, 565, 98]",Adidas
07704356.jpg,Adidas_1000,0,"[317, 68, 347, 85]",Adidas
07638476.jpg,Adidas_1028,0,"[365, 233, 424, 276]",Adidas
07686030.jpg,Adidas_1031,0,"[357, 291, 401, 314]",Adidas
07638481.jpg,Adidas_1032,0,"[396, 225, 461, 271]",Adidas
07646908.jpg,Adidas_1035,0,"[417, 434, 449, 458]",Adidas
07686033.jpg,Adidas_1036,0,"[398, 303, 434, 324]",Adidas
07646910.jpg,Adidas_1040,0,"[445, 548, 505, 589]",Adidas
07686037.jpg,Adidas_1041,0,"[322, 729, 420, 808]",Adidas
07686040.jpg,Adidas-text_0000,1,"[391, 274, 431, 284]",Adidas-text
07675174.jpg,Adidas-text_0005,1,"[520, 499, 556, 517]",Adidas-text
07638517.jpg,Adidas-text_0012,1,"[310, 295, 346, 316]",Adidas-text
07674618.jpg,Adidas-text_0015,1,"[528, 416, 574, 445]",Adidas-text
07638543.jpg,Adidas-text_0022,1,"[194, 317, 244, 334]",Adidas-text
07638545.jpg,Adidas-text_0024,1,"[208, 357, 272, 378]",Adidas-text
07683665.jpg,Adidas-text_0031,1,"[215, 388, 263, 413]",Adidas-text
07585018.jpg,Adidas-text_0032,1,"[102, 339, 175, 357]",Adidas-text
07585018.jpg,Adidas-text_0033,1,"[247, 334, 333, 360]",Adidas-text
07585018.jpg,Adidas-text_0034,1,"[405, 341, 489, 358]",Adidas-text
07585018.jpg,Adidas-text_0035,1,"[563, 338, 642, 357]",Adidas-text
07585018.jpg,Adidas-text_0036,1,"[708, 340, 788, 358]",Adidas-text
07698333.jpg,Adidas-text_0042,1,"[240, 1026, 294, 1049]",Adidas-text
07700789.jpg,Adidas-text_0045,1,"[363, 1058, 510, 1118]",Adidas-text
07596682.jpg,Adidas-text_0048,1,"[320, 1070, 389, 1090]",Adidas-text
07596683.jpg,Adidas-text_0053,1,"[318, 1070, 389, 1090]",Adidas-text
07596688.jpg,Adidas-text_0054,1,"[366, 468, 425, 499]",Adidas-text
07576786.jpg,Adidas-text_0056,1,"[375, 489, 439, 507]",Adidas-text
07576786.jpg,Adidas-text_0058,1,"[191, 677, 255, 698]",Adidas-text
07576786.jpg,Adidas-text_0059,1,"[191, 971, 254, 987]",Adidas-text
07576796.jpg,Adidas-text_0068,1,"[189, 1009, 253, 1031]",Adidas-text
07576798.jpg,Adidas-text_0070,1,"[325, 491, 394, 510]",Adidas-text
